timestamp,station_id,region,lat,lon,temperature_C,pressure_hPa,humidity_pct,is_anomaly,anomaly_type
2026-08-01 00:00:00,AWS_DELHI_01,Plains,28.6139,77.209,21.27,1008.87,67.81,0,none
2026-08-01 00:15:00,AWS_DELHI_01,Plains,28.6139,77.209,20.77,1009.02,67.17,0,none
2026-08-01 00:30:00,AWS_DELHI_01,Plains,28.6139,77.209,20.87,1008.33,68.05,0,none
2026-08-01 00:45:00,AWS_DELHI_01,Plains,28.6139,77.209,21.03,1009.08,68.04,0,none
2026-08-01 01:00:00,AWS_DELHI_01,Plains,28.6139,77.209,20.18,1008.79,68.2,0,none
2026-08-01 01:15:00,AWS_DELHI_01,Plains,28.6139,77.209,20.06,1008.51,70.14,0,none
2026-08-01 01:30:00,AWS_DELHI_01,Plains,28.6139,77.209,20.7,1008.76,69.71,0,none
2026-08-01 01:45:00,AWS_DELHI_01,Plains,28.6139,77.209,20.32,1009.17,68.54,0,none
2026-08-01 02:00:00,AWS_DELHI_01,Plains,28.6139,77.209,19.81,1008.45,70.48,0,none
2026-08-01 02:15:00,AWS_DELHI_01,Plains,28.6139,77.209,20.23,1008.38,69.74,0,none
2026-08-01 02:30:00,AWS_DELHI_01,Plains,28.6139,77.209,19.88,1008.07,70.25,0,none
2026-08-01 02:45:00,AWS_DELHI_01,Plains,28.6139,77.209,19.97,1007.85,69.88,0,none
2026-08-01 03:00:00,AWS_DELHI_01,Plains,28.6139,77.209,20.37,1008.25,67.91,0,none
2026-08-01 03:15:00,AWS_DELHI_01,Plains,28.6139,77.209,19.66,1007.64,67.96,0,none
2026-08-01 03:30:00,AWS_DELHI_01,Plains,28.6139,77.209,19.92,1007.81,69.2,0,none
2026-08-01 03:45:00,AWS_DELHI_01,Plains,28.6139,77.209,20.6,1007.55,68.65,0,none
2026-08-01 04:00:00,AWS_DELHI_01,Plains,28.6139,77.209,20.67,1007.74,67.45,0,none
2026-08-01 04:15:00,AWS_DELHI_01,Plains,28.6139,77.209,21.47,1007.61,67.11,0,none
2026-08-01 04:30:00,AWS_DELHI_01,Plains,28.6139,77.209,21.29,1007.75,67.96,0,none
2026-08-01 04:45:00,AWS_DELHI_01,Plains,28.6139,77.209,21.42,1007.21,65.12,0,none
2026-08-01 05:00:00,AWS_DELHI_01,Plains,28.6139,77.209,22.93,1007.23,65.84,0,none
2026-08-01 05:15:00,AWS_DELHI_01,Plains,28.6139,77.209,22.63,1006.97,64.25,0,none
2026-08-01 05:30:00,AWS_DELHI_01,Plains,28.6139,77.209,23.16,1007.09,63.5,0,none
2026-08-01 05:45:00,AWS_DELHI_01,Plains,28.6139,77.209,22.99,1007.32,64.32,0,none
2026-08-01 06:00:00,AWS_DELHI_01,Plains,28.6139,77.209,23.78,1007.43,63.19,0,none
2026-08-01 06:15:00,AWS_DELHI_01,Plains,28.6139,77.209,24.51,1006.93,62.35,0,none
2026-08-01 06:30:00,AWS_DELHI_01,Plains,28.6139,77.209,24.48,1007.49,62.08,0,none
2026-08-01 06:45:00,AWS_DELHI_01,Plains,28.6139,77.209,25.58,1007.67,59.65,0,none
2026-08-01 07:00:00,AWS_DELHI_01,Plains,28.6139,77.209,25.69,1007.43,59.55,0,none
2026-08-01 07:15:00,AWS_DELHI_01,Plains,28.6139,77.209,26.32,1007.93,57.44,0,none
2026-08-01 07:30:00,AWS_DELHI_01,Plains,28.6139,77.209,26.72,1007.2,57.27,0,none
2026-08-01 07:45:00,AWS_DELHI_01,Plains,28.6139,77.209,28.22,1007.14,55.79,0,none
